country,chain,item,size_label,grams,ml,calories,protein_g,carbs_g,fat_g,fiber_g,sugar_g,source_url
AU,McDonald's,Hot Fudge Twin Twist Sundae,Small,,,337,6.5,58.8,7.9,,47.1,https://www.mcdonalds.com/content/dam/sites/au/nfl/nutrition/PDFs/Aus%20Dessert%20Menu_January%202026%20%28Twin%20Twist%29.pdf
AU,McDonald's,Hot Fudge Twin Twist Sundae,Large,,,530,8.7,94.8,12.1,,73.8,https://www.mcdonalds.com/content/dam/sites/au/nfl/nutrition/PDFs/Aus%20Dessert%20Menu_January%202026%20%28Twin%20Twist%29.pdf
AU,McDonald's,Plain Twin Twist Sundae,Small,,,190,5.7,30.1,4.9,,27.0,https://www.mcdonalds.com/content/dam/sites/au/nfl/nutrition/PDFs/Aus%20Dessert%20Menu_January%202026%20%28Twin%20Twist%29.pdf
AU,McDonald's,Plain Twin Twist Sundae,Large,,,236,7.0,37.4,6.1,,33.6,https://www.mcdonalds.com/content/dam/sites/au/nfl/nutrition/PDFs/Aus%20Dessert%20Menu_January%202026%20%28Twin%20Twist%29.pdf
AU,McDonald's,Strawberry Twin Twist Sundae,Small,,,263,5.8,47.8,4.9,,44.9,https://www.mcdonalds.com/content/dam/sites/au/nfl/nutrition/PDFs/Aus%20Dessert%20Menu_January%202026%20%28Twin%20Twist%29.pdf
AU,McDonald's,Strawberry Twin Twist Sundae,Large,,,383,7.4,72.8,6.1,,69.3,https://www.mcdonalds.com/content/dam/sites/au/nfl/nutrition/PDFs/Aus%20Dessert%20Menu_January%202026%20%28Twin%20Twist%29.pdf
AU,Fish & Chip Shop,Burger with the lot,1 burger,,,950,44,72,62,6.5,16,
US,Dunkin,#ALLCAPS Donut,1 Donut,,,270,4,37,11,1,16,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Almond Protein Matcha Hot Latte,Large,,,340,21,45,8,2,42,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Almond Protein Matcha Hot Latte,Medium,,,260,15,34,6,1,31,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Almond Protein Matcha Hot Latte,Small,,,170,10,23,4,1,21,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Almond Protein Matcha Iced Latte,Large,,,340,21,45,8,2,42,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Almond Protein Matcha Iced Latte,Medium,,,260,15,34,6,1,31,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Almond Protein Matcha Iced Latte,Small,,,170,10,23,4,1,21,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Almond Vanilla No Sugar Added Iced Latte,Large,,,140,12,26,0,0,18,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Almond Vanilla No Sugar Added Iced Latte,Medium,,,110,9,19,0,0,14,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Almond Vanilla No Sugar Added Iced Latte,Small,,,70,6,13,0,0,9,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Almondmilk Iced Matcha Latte,Large,,,230,3,48,3.5,3,44,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Almondmilk Iced Matcha Latte,Medium,,,180,3,36,2.5,2,33,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Almondmilk Iced Matcha Latte,Small,,,120,2,24,2,1,22,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Americano,Large,,,10,0,2,0,0,0,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Americano,Medium,,,10,0,2,0,0,0,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Americano,Small,,,5,0,1,0,0,0,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Apple 'n Spice Donut,1 Donut,,,230,4,31,10,1,10,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Apple Crumb Donut,1 Donut,,,290,5,44,11,1,21,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Apple Fritter,1 Fritter,,,470,6,47,28,2,17,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Apple Stick,1 Stick,,,470,4,50,30,1,24,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Apple Streusel Donut,1 Donut,,,310,5,46,12,1,23,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Avocado Spread,1 Unit,,,80,1,4,7,3,0,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Avocado Toast,1 Piece,,,240,6,34,11,6,1,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Bacon & Cheddar Omelet Bites,2 Omelet Bites,,,280,17,7,19,0,2,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Bacon Jam Grilled Cheese,1 Sandwich,,,650,30,65,30,3,12,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Bacon Topped Avocado Toast,1 Piece,,,290,10,32,14,5,2,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,"Bacon, Egg and Cheese Wake-Up Wrap",1 Wrap,,,220,10,15,13,0,1,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,"Bacon, Egg and Cheese on Croissant",1 Sandwich,,,520,19,34,34,1,5,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,"Bacon, Egg and Cheese on English Muffin",1 Sandwich,,,420,19,39,21,1,4,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,"Bacon, Egg and Cheese on a Bagel with Chipotle Aioli",1 Sandwich,,,680,24,69,34,4,10,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,"Bacon, Egg and Cheese on a Plain Bagel",1 Sandwich,,,540,24,67,19,4,8,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Bavarian Kreme Donut,1 Donut,,,240,4,31,11,1,11,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Berry Moonlight Daydream Refresher,Large,,,410,4,81,8,3,60,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Berry Moonlight Daydream Refresher,Medium,,,290,3,58,5,2,42,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Berry Moonlight Daydream Refresher,Small,,,220,2,43,4.5,1,32,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Berry Sangria Black Tea Refresher,Large,,,170,0,41,0,0,37,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Berry Sangria Black Tea Refresher,Medium,,,120,0,31,0,0,28,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Berry Sangria Black Tea Refresher,Small,,,80,0,21,0,0,19,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Berry Sangria Lemonade Refresher,Large,,,310,0,78,0,0,74,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Berry Sangria Lemonade Refresher,Medium,,,240,0,58,0,0,55,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Berry Sangria Lemonade Refresher,Small,,,160,0,39,0,0,37,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Berry Sangria Protein Daydream Refresher,Large,,,430,15,71,10,0,66,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Berry Sangria Protein Daydream Refresher,Medium,,,310,11,50,7,0,47,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Berry Sangria Protein Daydream Refresher,Small,,,230,8,37,5,0,35,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Berry Sangria Protein Refresher,Large,,,400,20,63,8,0,58,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Berry Sangria Protein Refresher,Medium,,,290,15,44,6,0,40,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Berry Sangria Protein Refresher,Small,,,190,10,29,4,0,27,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Berry Sangria Refresher,Large,,,160,1,40,0,0,37,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Berry Sangria Refresher,Medium,,,120,1,30,0,0,28,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Berry Sangria Refresher,Small,,,80,0,20,0,0,18,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Birdland Donut,1 Donut,,,270,4,37,11,1,16,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Biscuit,1 Biscuit,,,270,5,32,14,1,2,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,"Biscuit, Bacon, Egg and Cheese",1 Sandwich,,,490,17,35,31,1,3,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Bismark,1 Bismark,,,480,6,63,22,1,34,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Blue Raspberry Coolatta®,Large,,,460,0,112,0,0,110,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Blue Raspberry Coolatta®,Medium,,,350,0,84,0,0,83,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Blue Raspberry Coolatta®,Small,,,230,0,56,0,0,55,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Blue Raspberry Rockstar® Energy Punch,Large,,,430,0,100,0,0,98,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Blueberry Breeze Dunkin' Lemonade Refresher,Large,,,330,0,80,0,0,74,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Blueberry Breeze Dunkin' Lemonade Refresher,Medium,,,250,0,60,0,0,56,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Blueberry Breeze Dunkin' Lemonade Refresher,Small,,,160,0,40,0,0,37,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Blueberry Cobbler Iced Coffee,Large,,,340,5,53,12,0,50,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Blueberry Cobbler Iced Coffee,Medium,,,260,4,39,9,0,37,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Blueberry Cobbler Iced Coffee,Small,,,170,3,26,6,0,25,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Blueberry Muffin,1 Muffin,,,460,6,77,15,1,44,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Blush Spritz Refresher,Large,,,160,0,39,0,0,37,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Blush Spritz Refresher,Medium,,,120,0,29,0,0,27,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Blush Spritz Refresher,Small,,,80,0,19,0,0,18,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Boston Kreme Donut,1 Donut,,,270,5,39,11,1,18,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Box 'O Joe(R) Hot Chocolate,1 Small Cup,,,220,2,40,7,2,32,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Box 'O Joe®,1 Small Cup,,,5,0,0,0,0,0,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Braided Apple Pie,1 Pie,,,400,5,53,18,2,20,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Brown Sugar Almond Protein Hot Macchiato,Large,,,310,13,51,5,0,47,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Brown Sugar Almond Protein Hot Macchiato,Medium,,,230,10,38,4,0,35,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Brown Sugar Almond Protein Hot Macchiato,Small,,,160,7,26,2.5,0,23,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Brown Sugar Almond Protein Iced Macchiato,Large,,,310,13,51,5,0,47,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Brown Sugar Almond Protein Iced Macchiato,Medium,,,230,10,38,4,0,35,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Brown Sugar Almond Protein Iced Macchiato,Small,,,160,7,26,2.5,0,23,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Brown Sugar Hazelnut Oat Iced Latte,Large,,,330,3,70,5,4,43,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Brown Sugar Hazelnut Oat Iced Latte,Medium,,,250,2,53,4,3,32,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Brown Sugar Hazelnut Oat Iced Latte,Small,,,160,1,35,2.5,2,21,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Brown Sugar Shakin' Espresso,Large,,,230,2,51,2.5,2,37,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Brown Sugar Shakin' Espresso,Medium,,,180,1,40,2,2,28,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Brown Sugar Shakin' Espresso,Small,,,120,1,26,1.5,1,18,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Brownie Batter Doniut,1 Donut,,,330,5,48,14,2,25,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Bulls Donut,1 Donut,,,270,4,37,11,1,16,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Packet,1 Packet,,,35,0,0,4,0,0,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Swirl Frozen Chocolate,Large,,,900,12,175,17,1,162,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Swirl Frozen Chocolate,Medium,,,700,9,134,14,1,124,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Swirl Frozen Chocolate,Small,,,500,6,95,11,1,87,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Swirl Frozen Coffee with Cream,Large,,,1050,10,175,35,0,168,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Swirl Frozen Coffee with Cream,Medium,,,780,7,131,26,0,126,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Swirl Frozen Coffee with Cream,Small,,,520,5,88,17,0,84,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Swirl Frozen Coffee with Skim Milk,Large,,,760,11,179,0,0,172,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Swirl Frozen Coffee with Skim Milk,Medium,,,570,8,134,0,0,129,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Swirl Frozen Coffee with Skim Milk,Small,,,380,5,90,0,0,86,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Swirl Frozen Coffee with Whole Milk,Large,,,810,10,179,6,0,171,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Swirl Frozen Coffee with Whole Milk,Medium,,,610,8,134,4.5,0,129,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Swirl Frozen Coffee with Whole Milk,Small,,,410,5,89,3,0,86,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Swirl Hot Cappuccino with Skim Milk,Large,,,310,11,64,0,0,60,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Swirl Hot Cappuccino with Skim Milk,Medium,,,230,9,48,0,0,45,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Swirl Hot Cappuccino with Skim Milk,Small,,,150,6,32,0,0,30,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Swirl Hot Cappuccino with Whole Milk,Large,,,370,11,63,8,0,60,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Swirl Hot Cappuccino with Whole Milk,Medium,,,280,8,47,6,0,45,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Swirl Hot Cappuccino with Whole Milk,Small,,,190,5,32,4,0,30,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Swirl Hot Coffee with Black,Large,,,220,4,50,0,0,48,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Swirl Hot Coffee with Black,Medium,,,170,3,38,0,0,36,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Swirl Hot Coffee with Black,Small,,,110,2,25,0,0,24,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Swirl Hot Coffee with Black - Extra Large,XLarge,,,270,5,63,0,0,60,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Swirl Hot Coffee with Cream,Large,,,330,5,52,12,0,50,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Swirl Hot Coffee with Cream,Medium,,,250,4,39,9,0,37,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Swirl Hot Coffee with Cream,Small,,,170,3,26,6,0,25,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Swirl Hot Coffee with Cream - Extra Large,XLarge,,,420,7,65,15,0,62,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Swirl Hot Latte with Skim Milk,Large,,,350,16,70,0.5,0,66,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Swirl Hot Latte with Skim Milk,Medium,,,260,12,52,0,0,50,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Swirl Hot Latte with Skim Milk,Small,,,170,8,35,0,0,33,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Swirl Hot Latte with Whole Milk,Large,,,450,15,69,12,0,66,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Swirl Hot Latte with Whole Milk,Medium,,,330,11,52,9,0,49,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Swirl Hot Latte with Whole Milk,Small,,,220,7,35,6,0,33,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Swirl Hot Macchiato with Skim Milk,Large,,,310,12,64,0,0,60,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Swirl Hot Macchiato with Skim Milk,Medium,,,230,9,48,0,0,45,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Swirl Hot Macchiato with Skim Milk,Small,,,160,6,33,0,0,30,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Swirl Hot Macchiato with Whole Milk,Large,,,380,11,64,8,0,60,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Swirl Hot Macchiato with Whole Milk,Medium,,,280,8,48,6,0,45,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Swirl Hot Macchiato with Whole Milk,Small,,,190,6,32,4,0,30,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Swirl Iced Cappuccino with Skim Milk,Large,,,310,11,64,0,0,60,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Swirl Iced Cappuccino with Skim Milk,Medium,,,230,9,48,0,0,45,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Swirl Iced Cappuccino with Skim Milk,Small,,,150,6,32,0,0,30,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Swirl Iced Cappuccino with Whole Milk,Large,,,370,11,63,8,0,60,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Swirl Iced Cappuccino with Whole Milk,Medium,,,280,8,47,6,0,45,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Swirl Iced Cappuccino with Whole Milk,Small,,,190,5,32,4,0,30,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Swirl Iced Coffee with Black,Large,,,220,4,50,0,0,48,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Swirl Iced Coffee with Black,Medium,,,170,3,38,0,0,36,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Swirl Iced Coffee with Black,Small,,,110,2,25,0,0,24,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Swirl Iced Coffee with Cream,Large,,,340,5,52,12,0,50,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Swirl Iced Coffee with Cream,Medium,,,250,4,39,9,0,37,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Swirl Iced Coffee with Cream,Small,,,170,3,26,6,0,25,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Swirl Iced Latte with Skim Milk,Large,,,350,16,70,0.5,0,66,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Swirl Iced Latte with Skim Milk,Medium,,,260,12,52,0,0,50,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Swirl Iced Latte with Skim Milk,Small,,,170,8,35,0,0,33,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Swirl Iced Latte with Whole Milk,Large,,,450,15,69,12,0,66,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Swirl Iced Latte with Whole Milk,Medium,,,330,11,52,9,0,49,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Swirl Iced Latte with Whole Milk,Small,,,220,7,35,6,0,33,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Swirl Iced Macchiato with Skim Milk,Large,,,310,12,64,0,0,60,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Swirl Iced Macchiato with Skim Milk,Medium,,,230,9,48,0,0,45,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Swirl Iced Macchiato with Skim Milk,Small,,,160,6,33,0,0,30,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Swirl Iced Macchiato with Whole Milk,Large,,,380,11,64,8,0,60,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Swirl Iced Macchiato with Whole Milk,Medium,,,280,8,48,6,0,45,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Swirl Iced Macchiato with Whole Milk,Small,,,190,6,32,4,0,30,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Vanilla Iced Coffee with Protein Milk,Large,,,270,7,55,1.5,0,52,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Vanilla Iced Coffee with Protein Milk,Medium,,,200,5,41,1,0,39,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Pecan Vanilla Iced Coffee with Protein Milk,Small,,,140,3,28,0.5,0,26,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butter Spread with Canola Oil,1 Portion,,,100,0,0,11,0,0,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Buttermilk Donut,1 Donut,,,330,3,41,17,1,20,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butternut Donut,1 Donut,,,430,4,57,21,1,34,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Butternut Munchkins,1 Donut Hole,,,90,1,12,4,0,7,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Café con Leche,Large,,,340,12,47,12,0,46,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Café con Leche,Medium,,,250,9,35,9,0,34,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Café con Leche,Small,,,170,6,23,6,0,23,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Cappuccino with Skim Milk,Large,,,90,8,13,0,0,12,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Cappuccino with Skim Milk,Medium,,,70,6,10,0,0,9,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
US,Dunkin,Cappuccino with Skim Milk,Small,,,45,4,7,0,0,6,https://www.dunkindonuts.com/content/dam/dd/pdf/nutrition.pdf
